ID	Name	Age	Marks
141	Student_141	19	89
142	Student_142	20	90
143	Student_143	21	91
144	Student_144	22	92
145	Student_145	18	93
146	Student_146	19	94
147	Student_147	20	95
148	Student_148	21	96
149	Student_149	22	97
150	Student_150	18	98
151	Student_151	19	99
152	Student_152	20	100
153	Student_153	21	50
154	Student_154	22	51
155	Student_155	18	52
156	Student_156	19	53
157	Student_157	20	54
158	Student_158	21	55
159	Student_159	22	56
160	Student_160	18	57
161	Student_161	19	58
162	Student_162	20	59
163	Student_163	21	60
164	Student_164	22	61
165	Student_165	18	62
166	Student_166	19	63
167	Student_167	20	64
168	Student_168	21	65
169	Student_169	22	66
170	Student_170	18	67
171	Student_171	19	68
172	Student_172	20	69
173	Student_173	21	70
174	Student_174	22	71
175	Student_175	18	72
176	Student_176	19	73
177	Student_177	20	74
178	Student_178	21	75
179	Student_179	22	76
180	Student_180	18	77
181	Student_181	19	78
182	Student_182	20	79
183	Student_183	21	80
184	Student_184	22	81
185	Student_185	18	82
186	Student_186	19	83
187	Student_187	20	84
188	Student_188	21	85
189	Student_189	22	86
190	Student_190	18	87
191	Student_191	19	88
192	Student_192	20	89
193	Student_193	21	90
194	Student_194	22	91
195	Student_195	18	92
196	Student_196	19	93
197	Student_197	20	94
198	Student_198	21	95
199	Student_199	22	96
200	Student_200	18	97
201	Student_201	19	98
202	Student_202	20	99
203	Student_203	21	100
204	Student_204	22	50
205	Student_205	18	51
206	Student_206	19	52
207	Student_207	20	53
208	Student_208	21	54
209	Student_209	22	55
210	Student_210	18	56
211	Student_211	19	57
212	Student_212	20	58
213	Student_213	21	59
214	Student_214	22	60
215	Student_215	18	61
216	Student_216	19	62
217	Student_217	20	63
218	Student_218	21	64
219	Student_219	22	65
220	Student_220	18	66
221	Student_221	19	67
222	Student_222	20	68
223	Student_223	21	69
224	Student_224	22	70
225	Student_225	18	71
226	Student_226	19	72
227	Student_227	20	73
228	Student_228	21	74
229	Student_229	22	75
230	Student_230	18	76
231	Student_231	19	77
232	Student_232	20	78
233	Student_233	21	79
234	Student_234	22	80
235	Student_235	18	81
236	Student_236	19	82
237	Student_237	20	83
238	Student_238	21	84
239	Student_239	22	85
240	Student_240	18	86
241	Student_241	19	87
242	Student_242	20	88
243	Student_243	21	89
244	Student_244	22	90
245	Student_245	18	91
246	Student_246	19	92
247	Student_247	20	93
248	Student_248	21	94
249	Student_249	22	95
250	Student_250	18	96
251	Student_251	19	97
252	Student_252	20	98
253	Student_253	21	99
254	Student_254	22	100
255	Student_255	18	50
256	Student_256	19	51
257	Student_257	20	52
258	Student_258	21	53
259	Student_259	22	54
260	Student_260	18	55
261	Student_261	19	56
262	Student_262	20	57
263	Student_263	21	58
264	Student_264	22	59
265	Student_265	18	60
266	Student_266	19	61
267	Student_267	20	62
268	Student_268	21	63
269	Student_269	22	64
270	Student_270	18	65
271	Student_271	19	66
272	Student_272	20	67
273	Student_273	21	68
274	Student_274	22	69
275	Student_275	18	70
276	Student_276	19	71
277	Student_277	20	72
278	Student_278	21	73
279	Student_279	22	74
280	Student_280	18	75
281	Student_281	19	76
282	Student_282	20	77
283	Student_283	21	78
284	Student_284	22	79
285	Student_285	18	80
286	Student_286	19	81
287	Student_287	20	82
288	Student_288	21	83
289	Student_289	22	84
290	Student_290	18	85
291	Student_291	19	86
292	Student_292	20	87
293	Student_293	21	88
294	Student_294	22	89
295	Student_295	18	90
296	Student_296	19	91
297	Student_297	20	92
298	Student_298	21	93
299	Student_299	22	94
300	Student_300	18	95
301	Student_301	19	96
302	Student_302	20	97
303	Student_303	21	98
304	Student_304	22	99
305	Student_305	18	100
306	Student_306	19	50
307	Student_307	20	51
308	Student_308	21	52
309	Student_309	22	53
310	Student_310	18	54
311	Student_311	19	55
312	Student_312	20	56
313	Student_313	21	57
314	Student_314	22	58
315	Student_315	18	59
316	Student_316	19	60
317	Student_317	20	61
318	Student_318	21	62
319	Student_319	22	63
320	Student_320	18	64
321	Student_321	19	65
322	Student_322	20	66
323	Student_323	21	67
324	Student_324	22	68
325	Student_325	18	69
326	Student_326	19	70
327	Student_327	20	71
328	Student_328	21	72
329	Student_329	22	73
330	Student_330	18	74
331	Student_331	19	75
332	Student_332	20	76
333	Student_333	21	77
334	Student_334	22	78
335	Student_335	18	79
336	Student_336	19	80
337	Student_337	20	81
338	Student_338	21	82
339	Student_339	22	83
340	Student_340	18	84
341	Student_341	19	85
342	Student_342	20	86
343	Student_343	21	87
344	Student_344	22	88
345	Student_345	18	89
346	Student_346	19	90
347	Student_347	20	91
348	Student_348	21	92
349	Student_349	22	93
350	Student_350	18	94
351	Student_351	19	95
352	Student_352	20	96
353	Student_353	21	97
354	Student_354	22	98
355	Student_355	18	99
356	Student_356	19	100
357	Student_357	20	50
358	Student_358	21	51
359	Student_359	22	52
360	Student_360	18	53
361	Student_361	19	54
362	Student_362	20	55
363	Student_363	21	56
364	Student_364	22	57
365	Student_365	18	58
366	Student_366	19	59
367	Student_367	20	60
368	Student_368	21	61
369	Student_369	22	62
370	Student_370	18	63
371	Student_371	19	64
372	Student_372	20	65
373	Student_373	21	66
374	Student_374	22	67
375	Student_375	18	68
376	Student_376	19	69
377	Student_377	20	70
378	Student_378	21	71
379	Student_379	22	72
380	Student_380	18	73
381	Student_381	19	74
382	Student_382	20	75
383	Student_383	21	76
384	Student_384	22	77
385	Student_385	18	78
386	Student_386	19	79
387	Student_387	20	80
388	Student_388	21	81
389	Student_389	22	82
390	Student_390	18	83
391	Student_391	19	84
392	Student_392	20	85
393	Student_393	21	86
394	Student_394	22	87
395	Student_395	18	88
396	Student_396	19	89
397	Student_397	20	90
398	Student_398	21	91
399	Student_399	22	92
400	Student_400	18	93
401	Student_401	19	94
402	Student_402	20	95
403	Student_403	21	96
404	Student_404	22	97
405	Student_405	18	98
406	Student_406	19	99
407	Student_407	20	100
408	Student_408	21	50
409	Student_409	22	51
410	Student_410	18	52
411	Student_411	19	53
412	Student_412	20	54
413	Student_413	21	55
414	Student_414	22	56
415	Student_415	18	57
416	Student_416	19	58
417	Student_417	20	59
418	Student_418	21	60
419	Student_419	22	61
420	Student_420	18	62
421	Student_421	19	63
422	Student_422	20	64
423	Student_423	21	65
424	Student_424	22	66
425	Student_425	18	67
426	Student_426	19	68
427	Student_427	20	69
428	Student_428	21	70
429	Student_429	22	71
430	Student_430	18	72
431	Student_431	19	73
432	Student_432	20	74
433	Student_433	21	75
434	Student_434	22	76
435	Student_435	18	77
436	Student_436	19	78
437	Student_437	20	79
438	Student_438	21	80
439	Student_439	22	81
440	Student_440	18	82
441	Student_441	19	83
442	Student_442	20	84
443	Student_443	21	85
444	Student_444	22	86
445	Student_445	18	87
446	Student_446	19	88
447	Student_447	20	89
448	Student_448	21	90
449	Student_449	22	91
450	Student_450	18	92
451	Student_451	19	93
452	Student_452	20	94
453	Student_453	21	95
454	Student_454	22	96
455	Student_455	18	97
456	Student_456	19	98
457	Student_457	20	99
458	Student_458	21	100
459	Student_459	22	50
460	Student_460	18	51
461	Student_461	19	52
462	Student_462	20	53
463	Student_463	21	54
464	Student_464	22	55
465	Student_465	18	56
466	Student_466	19	57
467	Student_467	20	58
468	Student_468	21	59
469	Student_469	22	60
470	Student_470	18	61
471	Student_471	19	62
472	Student_472	20	63
473	Student_473	21	64
474	Student_474	22	65
475	Student_475	18	66
476	Student_476	19	67
477	Student_477	20	68
478	Student_478	21	69
479	Student_479	22	70
480	Student_480	18	71
481	Student_481	19	72
482	Student_482	20	73
483	Student_483	21	74
484	Student_484	22	75
485	Student_485	18	76
486	Student_486	19	77
487	Student_487	20	78
488	Student_488	21	79
489	Student_489	22	80
490	Student_490	18	81
491	Student_491	19	82
492	Student_492	20	83
493	Student_493	21	84
494	Student_494	22	85
495	Student_495	18	86
496	Student_496	19	87
497	Student_497	20	88
498	Student_498	21	89
499	Student_499	22	90
500	Student_500	18	91
501	Student_501	19	92
502	Student_502	20	93
503	Student_503	21	94
504	Student_504	22	95
505	Student_505	18	96
506	Student_506	19	97
507	Student_507	20	98
508	Student_508	21	99
509	Student_509	22	100
510	Student_510	18	50
511	Student_511	19	51
512	Student_512	20	52
513	Student_513	21	53
514	Student_514	22	54
515	Student_515	18	55
516	Student_516	19	56
517	Student_517	20	57
518	Student_518	21	58
519	Student_519	22	59
520	Student_520	18	60
521	Student_521	19	61
522	Student_522	20	62
523	Student_523	21	63
524	Student_524	22	64
525	Student_525	18	65
526	Student_526	19	66
527	Student_527	20	67
528	Student_528	21	68
